id,"name","name.cn","project_group","type","git_url","branch_dev","branch_test","branch_uat","branch_pro","jar_dev","jar_test","jar_uat","jar_pro","mem_dev","mem_test","mem_uat","mem_pro"
27,"sbc-service-goods",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-goods.git","dev1.3","alpha","beta","beta","service-goods-app-mp-4.1.3-SNAPSHOT.jar","service-goods-app-mp-4.1.3-ALPHA.jar","service-goods-app-mp-4.1.3-SNAPSHOT.jar","service-goods-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
28,"sbc-service-marketing",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-marketing.git","dev1.3","alpha","beta","beta","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","service-marketing-app-mp-4.1.3-ALPHA.jar","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
29,"sbc-service-message",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-message.git","dev1.3","alpha","beta","beta","service-message-app-mp-4.1.3-SNAPSHOT.jar","service-message-app-mp-4.1.3-ALPHA.jar","service-message-app-mp-4.1.3-SNAPSHOT.jar","service-message-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
30,"sbc-service-order",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-order.git","dev1.3","alpha","beta","beta","service-order-app-mp-4.1.3-SNAPSHOT.jar","service-order-app-mp-4.1.3-ALPHA.jar","service-order-app-mp-4.1.3-SNAPSHOT.jar","service-order-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
31,"sbc-service-account",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-account.git","dev1.3","alpha","beta","beta","service-account-app-mp-4.1.3-SNAPSHOT.jar","service-account-app-mp-4.1.3-ALPHA.jar","service-account-app-mp-4.1.3-SNAPSHOT.jar","service-account-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
32,"sbc-service-pay",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-pay.git","dev1.3","alpha","beta","beta","service-pay-app-mp-4.1.3-SNAPSHOT.jar","service-pay-app-mp-4.1.3-ALPHA.jar","service-pay-app-mp-4.1.3-SNAPSHOT.jar","service-pay-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
33,"sbc-service-third",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-third.git","dev1.3","alpha","beta","beta","service-third-app-mp-4.1.3-SNAPSHOT.jar","service-third-app-mp-4.1.3-ALPHA.jar","service-third-app-mp-4.1.3-SNAPSHOT.jar","service-third-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
34,"bff-boss",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-platform.git","dev1.3","alpha","beta","beta","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-boss-mp-4.1.3-ALPHA.jar","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
35,"bff-supplier",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-platform.git","dev1.3","alpha","beta","beta","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-supplier-mp-4.1.3-ALPHA.jar","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
36,"bff-mobile",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-platform.git","dev1.3","alpha","beta","beta","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","bff-web-2b-mobile-mp-4.1.3-ALPHA.jar","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
37,"sbc-service-ares",NULL,"mp","java","git@git.lianchuanghj.com:eshop/ares.git","dev1.3","alpha","beta","beta","ares-app-mp-4.1.3-SNAPSHOT.jar","ares-app-mp-4.1.3-ALPHA.jar","ares-app-mp-4.1.3-SNAPSHOT.jar","ares-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
38,"sbc-service-es",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-es.git","dev1.3","alpha","beta","beta","service-es-mp-4.1.3-SNAPSHOT.jar","service-es-mp-4.1.3-ALPHA.jar","service-es-mp-4.1.3-SNAPSHOT.jar","service-es-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
39,"sbc-service-common",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-common.git","dev1.3","alpha","beta","beta","service-common-mp-4.1.3-SNAPSHOT.jar","service-common-mp-4.1.3-ALPHA.jar","service-common-mp-4.1.3-SNAPSHOT.jar","service-common-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
40,"common-center",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","common-center-mp-4.1.3-SNAPSHOT.jar","common-center-mp-4.1.3-ALPHA.jar","common-center-mp-4.1.3-SNAPSHOT.jar","common-center-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
41,"auth-center",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","auth-center-1.0.0-SNAPSHOT.jar","auth-center-1.0.0-ALPHA.jar","auth-center-1.0.0-SNAPSHOT.jar","auth-center-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
42,"store-center",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","store-center-1.0.0-SNAPSHOT.jar","store-center-1.0.0-ALPHA.jar","store-center-1.0.0-SNAPSHOT.jar","store-center-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
43,"order-center",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","order-center-1.0.0-SNAPSHOT.jar","order-center-1.0.0-ALPHA.jar","order-center-1.0.0-SNAPSHOT.jar","order-center-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
44,"goods-center",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","goods-center-1.0.0-SNAPSHOT.jar","goods-center-1.0.0-ALPHA.jar","goods-center-1.0.0-SNAPSHOT.jar","goods-center-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
45,"sbc-service-setting",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-setting.git","dev1.3","alpha","beta","beta","service-setting-app-mp-4.1.3-SNAPSHOT.jar","service-setting-app-mp-4.1.3-SNAPSHOT.jar","service-setting-app-mp-4.1.3-SNAPSHOT.jar","service-setting-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
46,"sbc-service-customer",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-customer.git","dev1.3","alpha","beta","beta","service-customer-app-mp-4.1.3-SNAPSHOT.jar","service-customer-app-mp-4.1.3-SNAPSHOT.jar","service-customer-app-mp-4.1.3-SNAPSHOT.jar","service-customer-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
47,"sbc-service-goods",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-goods.git","dev1.3","alpha","beta","beta","service-goods-app-mp-4.1.3-SNAPSHOT.jar","service-goods-app-mp-4.1.3-SNAPSHOT.jar","service-goods-app-mp-4.1.3-SNAPSHOT.jar","service-goods-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
48,"sbc-service-marketing",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-marketing.git","dev1.3","alpha","beta","beta","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
49,"sbc-service-message",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-message.git","dev1.3","alpha","beta","beta","service-message-app-mp-4.1.3-SNAPSHOT.jar","service-message-app-mp-4.1.3-SNAPSHOT.jar","service-message-app-mp-4.1.3-SNAPSHOT.jar","service-message-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
50,"sbc-service-order",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-order.git","dev1.3","alpha","beta","beta","service-order-app-mp-4.1.3-SNAPSHOT.jar","service-order-app-mp-4.1.3-SNAPSHOT.jar","service-order-app-mp-4.1.3-SNAPSHOT.jar","service-order-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
51,"sbc-service-account",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-account.git","dev1.3","alpha","beta","beta","service-account-app-mp-4.1.3-SNAPSHOT.jar","service-account-app-mp-4.1.3-SNAPSHOT.jar","service-account-app-mp-4.1.3-SNAPSHOT.jar","service-account-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
52,"sbc-service-pay",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-pay.git","dev1.3","alpha","beta","beta","service-pay-app-mp-4.1.3-SNAPSHOT.jar","service-pay-app-mp-4.1.3-SNAPSHOT.jar","service-pay-app-mp-4.1.3-SNAPSHOT.jar","service-pay-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
53,"sbc-service-third",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-third.git","dev1.3","alpha","beta","beta","service-third-app-mp-4.1.3-SNAPSHOT.jar","service-third-app-mp-4.1.3-SNAPSHOT.jar","service-third-app-mp-4.1.3-SNAPSHOT.jar","service-third-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
54,"bff-boss",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-platform.git","dev1.3","alpha","beta","beta","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
55,"bff-supplier",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-platform.git","dev1.3","alpha","beta","beta","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
56,"bff-mobile",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-platform.git","dev1.3","alpha","beta","beta","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
57,"sbc-service-ares",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/ares.git","dev1.3","alpha","beta","beta","ares-app-mp-4.1.3-SNAPSHOT.jar","ares-app-mp-4.1.3-SNAPSHOT.jar","ares-app-mp-4.1.3-SNAPSHOT.jar","ares-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
58,"sbc-service-es",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-es.git","dev1.3","alpha","beta","beta","service-es-mp-4.1.3-SNAPSHOT.jar","service-es-mp-4.1.3-SNAPSHOT.jar","service-es-mp-4.1.3-SNAPSHOT.jar","service-es-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
59,"sbc-service-common",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-service-common.git","dev1.3","alpha","beta","beta","service-common-mp-4.1.3-SNAPSHOT.jar","service-common-mp-4.1.3-SNAPSHOT.jar","service-common-mp-4.1.3-SNAPSHOT.jar","service-common-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
60,"common-center",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","common-center-mp-4.1.3-SNAPSHOT.jar","common-center-mp-4.1.3-SNAPSHOT.jar","common-center-mp-4.1.3-SNAPSHOT.jar","common-center-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
61,"auth-center",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","auth-center-1.0.0-SNAPSHOT.jar","auth-center-1.0.0-SNAPSHOT.jar","auth-center-1.0.0-SNAPSHOT.jar","auth-center-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
62,"store-center",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","store-center-1.0.0-SNAPSHOT.jar","store-center-1.0.0-SNAPSHOT.jar","store-center-1.0.0-SNAPSHOT.jar","store-center-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
63,"order-center",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","order-center-1.0.0-SNAPSHOT.jar","order-center-1.0.0-SNAPSHOT.jar","order-center-1.0.0-SNAPSHOT.jar","order-center-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
64,"goods-center",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/sbc-center.git","dev1.3","alpha","beta","beta","goods-center-1.0.0-SNAPSHOT.jar","goods-center-1.0.0-SNAPSHOT.jar","goods-center-1.0.0-SNAPSHOT.jar","goods-center-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
65,"gateway",NULL,"eshop","java","git@git.lianchuanghj.com:eshop/gateway.git","dev1.3","alpha","beta","beta","gateway-1.0.0-SNAPSHOT.jar","gateway-1.0.0-SNAPSHOT.jar","gateway-1.0.0-SNAPSHOT.jar","gateway-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
